timestamp,instrument,price,volume,bid,ask,bid_size,ask_size
2025-04-09 17:14:15.421687,AAPL,297.85667685763894,104,297.5588201807813,298.1545335344966,62,41
2025-04-09 17:14:15.421687,GOOGL,345.2988147429664,94,344.9535159282234,345.6441135577093,56,37
2025-04-09 17:14:15.421687,AMZN,383.70409950691356,111,383.32039540740664,384.08780360642044,66,44
2025-04-09 17:14:15.421687,MSFT,180.83706875014465,81,180.6562316813945,181.01790581889477,48,32
2025-04-09 17:14:15.421687,FB,224.0039155609991,96,223.7799116454381,224.2279194765601,57,38
2025-04-09 17:14:16.421687,AAPL,315.94348451426185,99,315.6275410297476,316.25942799877606,59,39
2025-04-09 17:14:16.421687,GOOGL,355.11236657021027,103,354.75725420364006,355.4674789367804,61,41
2025-04-09 17:14:16.421687,AMZN,365.0407151255464,107,364.67567441042087,365.40575584067193,64,42
2025-04-09 17:14:16.421687,MSFT,182.6968150463348,98,182.51411823128845,182.8795118613811,58,39
2025-04-09 17:14:16.421687,FB,236.5892039006207,98,236.35261469672008,236.8257931045213,58,39
2025-04-09 17:14:17.421687,GOOGL,310.0902745259361,103,309.78018425141016,310.400364800462,61,41
2025-04-09 17:14:17.421687,AMZN,387.745063515296,106,387.3573184517807,388.13280857881125,63,42
2025-04-09 17:14:17.421687,MSFT,161.02096130438713,92,160.85994034308274,161.1819822656915,55,36
2025-04-09 17:14:17.421687,AAPL,253.10440377995872,95,252.85129937617876,253.35750818373864,57,38
2025-04-09 17:14:17.421687,FB,223.6535297966866,85,223.42987626688992,223.87718332648325,51,34
2025-04-09 17:14:18.421687,FB,208.87644677157448,116,208.6675703248029,209.08532321834602,69,46
2025-04-09 17:14:18.421687,GOOGL,332.93361876731234,106,332.60068514854504,333.26655238607964,63,42
2025-04-09 17:14:18.421687,MSFT,145.97282260747838,99,145.8268497848709,146.11879543008584,59,39
2025-04-09 17:14:18.421687,AAPL,276.97103982268885,100,276.69406878286617,277.24801086251153,60,40
2025-04-09 17:14:18.421687,AMZN,367.514854766554,83,367.1473399117874,367.8823696213205,49,33
2025-04-09 17:14:19.421687,AAPL,272.96145251049046,94,272.68849105797995,273.2344139630009,56,37
2025-04-09 17:14:19.421687,AMZN,316.80171670382407,97,316.48491498712025,317.11851842052783,58,38
2025-04-09 17:14:19.421687,MSFT,143.5736457435994,104,143.4300720978558,143.71721938934297,62,41
2025-04-09 17:14:19.421687,FB,194.5054083296909,98,194.31090292136122,194.69991373802057,58,39
2025-04-09 17:14:19.421687,GOOGL,299.9112374444382,89,299.61132620699374,300.2111486818826,53,35
2025-04-09 17:14:20.421687,GOOGL,289.83215949371714,104,289.54232733422344,290.12199165321084,62,41
2025-04-09 17:14:20.421687,FB,177.71705412325278,96,177.53933706912952,177.89477117737601,57,38
2025-04-09 17:14:20.421687,AAPL,320.2737934314285,103,319.95351963799703,320.5940672248599,61,41
2025-04-09 17:14:20.421687,MSFT,145.86339977389395,93,145.71753637412004,146.00926317366782,55,37
2025-04-09 17:14:20.421687,AMZN,315.7262478002077,100,315.4105215524075,316.0419740480079,60,40
2025-04-09 17:14:21.421687,MSFT,125.15362375920947,100,125.02847013545026,125.27877738296866,60,40
2025-04-09 17:14:21.421687,FB,178.67908239807625,109,178.50040331567817,178.8577614804743,65,43
2025-04-09 17:14:21.421687,GOOGL,249.92065450532408,80,249.67073385081875,250.17057515982938,48,32
2025-04-09 17:14:21.421687,AAPL,391.2012940431493,111,390.81009274910616,391.5924953371924,66,44
2025-04-09 17:14:21.421687,AMZN,323.78664656127785,95,323.46285991471655,324.1104332078391,57,38
2025-04-09 17:14:22.421687,AAPL,403.0173089575904,88,402.6142916486328,403.42032626654793,52,35
2025-04-09 17:14:22.421687,GOOGL,258.4047347306039,99,258.14632999587326,258.66313946533444,59,39
2025-04-09 17:14:22.421687,AMZN,296.98021246439623,96,296.6832322519318,297.2771926768606,57,38
2025-04-09 17:14:22.421687,MSFT,141.89751358059115,94,141.75561606701055,142.03941109417173,56,37
2025-04-09 17:14:22.421687,FB,179.43689807599515,118,179.25746117791914,179.61633497407112,70,47
